PIN,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,,AF11,AF12,AF13,AF14,AF15
PE1,,,,,,,,,,,,,,,,,EVENTOUT
PE2,TRACECK,,,,,,,,,,,,,,,,EVENTOUT
PE3,TRACED0,,,,,,,,,,,,,,,,EVENTOUT
PE4,TRACED1,,,,,,,,,,,,,,,,EVENTOUT
PE5,TRACED2,,,,,,,,TIM9_CH1,,,,,,,,EVENTOUT
PE6,TRACED3,,,,,,,,TIM9_CH2,,,,,,,,EVENTOUT
PE7,,,,,TIM1_ETR,,,,,,,,,,,,EVENTOUT
PE8,,,,,TIM1_CH1N,,,,,,,,,,,,EVENTOUT
PE9,,,,,TIM1_CH1,,,,,,,,,,,,EVENTOUT
PE10,,,,,TIM1_CH2N,,,,,,ESMC_CLK,,,,,,EVENTOUT
PE11,,,,,TIM1_CH2,,,,,,ESMC_SS3,,,,,,EVENTOUT
PE12,,,,,TIM1_CH3N,,,,,,ESMC_IO0,,,,,,EVENTOUT
PE13,,,,,TIM1_CH3,,,,,,ESMC_IO1,,,,,,EVENTOUT
PE14,,,,,TIM1_CH4,,,,,,ESMC_IO2,,,,,,EVENTOUT
PE15,,,,,TIM1_BKIN,,,,,,ESMC_IO3,,,,,,EVENTOUT
